biacromialbreadth,chestcircumference,weightkg,stature,t-shirt size
444,1232,1139,1745,2XL
402,1002,747,1694,M
401,1054,972,1824,M
415,1074,779,1864,L
388,881,594,1670,XS
386,925,691,1655,S
423,1113,877,1790,XL
433,1152,964,1777,XL
417,1034,927,1780,M
419,1053,946,1774,L
419,1059,833,1698,L
403,977,716,1641,S
433,1064,870,1740,L
410,1037,733,1660,M
422,1065,869,1790,L
411,1001,827,1742,M
419,1082,954,1781,L
427,1104,940,1778,L
394,973,734,1759,S
401,961,779,1780,S
423,1159,995,1766,XL
393,998,664,1628,S
436,1182,1013,1767,2XL
403,1013,804,1723,M
406,1011,815,1776,M
424,1172,1034,1756,XL
379,838,587,1685,XS
419,1043,787,1740,M
411,1098,867,1679,L
398,956,674,1667,S
386,936,631,1680,S
381,968,616,1643,S
450,1216,1121,1790,2XL
400,1020,838,1715,M
418,1121,1029,1804,L
377,862,575,1651,XS
426,1066,916,1784,L
402,992,766,1864,M
483,1372,1429,1867,3XL
436,1178,943,1745,2XL
415,1043,817,1717,M
384,880,523,1603,XS
414,1031,775,1729,M
395,939,687,1801,S
395,942,703,1648,S
434,1134,1099,1870,XL
431,1157,1012,1825,XL
445,1159,875,1792,XL
405,1048,778,1702,M
419,1043,818,1790,M
435,1135,881,1821,XL
444,1172,1047,1792,2XL
398,928,689,1678,S
413,1112,909,1728,L
414,1043,822,1730,M
399,971,698,1800,S
440,1139,1009,1695,XL
399,993,796,1671,M
410,993,804,1741,M
427,1132,947,1759,XL
411,1032,826,1770,M
412,1101,995,1813,L
413,1028,800,1700,M
432,1168,1054,1752,XL
421,1074,851,1749,L
436,1123,959,1824,XL
393,992,798,1767,S
427,1081,914,1817,L
414,1013,751,1750,M
417,1104,970,1849,L
411,1101,846,1727,L
415,991,819,1809,M
410,1074,963,1840,L
422,1107,920,1785,L
416,1032,827,1745,M
403,994,811,1732,M
423,1073,878,1713,L
437,1122,967,1786,XL
410,1076,982,1835,L
452,1180,1001,1763,2XL
399,1014,784,1687,M
409,1032,858,1855,M
386,977,668,1715,S
390,975,802,1658,S
403,1013,804,1720,M
421,1072,925,1777,L
446,1147,1057,1902,XL
423,1113,904,1826,XL
424,1091,901,1830,L
428,1157,961,1755,XL
419,1026,744,1777,M
420,1002,794,1682,M
401,999,749,1691,M
416,1037,783,1729,M
380,908,643,1670,XS
415,1034,846,1759,M
445,1112,916,1785,XL
415,1072,754,1694,L
397,943,684,1706,S
426,1096,962,1827,L
435,1144,967,1798,XL
405,1043,798,1700,M
431,1119,1077,1842,XL
461,1258,1292,1909,3XL
400,938,661,1726,S
456,1203,1151,1849,2XL
442,1114,916,1796,XL
425,1158,1044,1822,XL
408,952,664,1635,S
420,1088,866,1703,L
